x,y,gas saturation [-],CO2 concentration in water [kg/m3]
5.000E-03,5.000E-03,0.000E+00,4.838E-48
1.500E-02,5.000E-03,0.000E+00,4.605E-46
2.500E-02,5.000E-03,0.000E+00,4.055E-44
3.500E-02,5.000E-03,0.000E+00,3.331E-42
4.500E-02,5.000E-03,0.000E+00,2.526E-40
5.500E-02,5.000E-03,0.000E+00,1.799E-38
6.500E-02,5.000E-03,0.000E+00,1.185E-36
7.500E-02,5.000E-03,0.000E+00,7.213E-35
8.500E-02,5.000E-03,0.000E+00,4.136E-33
9.500E-02,5.000E-03,0.000E+00,2.189E-31
1.050E-01,5.000E-03,0.000E+00,1.077E-29
1.150E-01,5.000E-03,0.000E+00,4.904E-28
1.250E-01,5.000E-03,0.000E+00,2.064E-26
1.350E-01,5.000E-03,0.000E+00,7.980E-25
1.450E-01,5.000E-03,0.000E+00,2.871E-23
1.550E-01,5.000E-03,0.000E+00,9.358E-22
1.650E-01,5.000E-03,0.000E+00,2.791E-20
1.750E-01,5.000E-03,0.000E+00,7.628E-19
1.850E-01,5.000E-03,0.000E+00,1.893E-17
1.950E-01,5.000E-03,0.000E+00,4.278E-16
2.050E-01,5.000E-03,0.000E+00,8.672E-15
2.150E-01,5.000E-03,0.000E+00,1.569E-13
2.250E-01,5.000E-03,0.000E+00,2.547E-12
2.350E-01,5.000E-03,0.000E+00,3.644E-11
2.450E-01,5.000E-03,0.000E+00,4.692E-10
2.550E-01,5.000E-03,0.000E+00,5.275E-09
2.650E-01,5.000E-03,0.000E+00,5.163E-08
2.750E-01,5.000E-03,0.000E+00,4.245E-07
2.850E-01,5.000E-03,0.000E+00,2.828E-06
2.950E-01,5.000E-03,0.000E+00,1.564E-05
3.050E-01,5.000E-03,0.000E+00,7.357E-05
3.150E-01,5.000E-03,0.000E+00,3.028E-04
3.250E-01,5.000E-03,0.000E+00,1.085E-03
3.350E-01,5.000E-03,0.000E+00,3.553E-03
3.450E-01,5.000E-03,0.000E+00,1.017E-02
3.550E-01,5.000E-03,0.000E+00,2.507E-02
3.650E-01,5.000E-03,0.000E+00,5.307E-02
3.750E-01,5.000E-03,0.000E+00,9.798E-02
3.850E-01,5.000E-03,0.000E+00,1.603E-01
3.950E-01,5.000E-03,0.000E+00,2.419E-01
4.050E-01,5.000E-03,0.000E+00,3.398E-01
4.150E-01,5.000E-03,0.000E+00,4.417E-01
4.250E-01,5.000E-03,0.000E+00,5.364E-01
4.350E-01,5.000E-03,0.000E+00,6.200E-01
4.450E-01,5.000E-03,0.000E+00,6.955E-01
4.550E-01,5.000E-03,0.000E+00,7.667E-01
4.650E-01,5.000E-03,0.000E+00,6.241E-01
4.750E-01,5.000E-03,0.000E+00,5.114E-01
4.850E-01,5.000E-03,0.000E+00,3.944E-01
4.950E-01,5.000E-03,0.000E+00,2.752E-01
5.050E-01,5.000E-03,0.000E+00,1.707E-01
5.150E-01,5.000E-03,0.000E+00,9.638E-02
5.250E-01,5.000E-03,0.000E+00,4.694E-02
5.350E-01,5.000E-03,0.000E+00,2.003E-02
5.450E-01,5.000E-03,0.000E+00,6.937E-02
5.550E-01,5.000E-03,0.000E+00,3.890E-01
5.650E-01,5.000E-03,0.000E+00,6.309E-01
5.750E-01,5.000E-03,0.000E+00,7.989E-01
5.850E-01,5.000E-03,0.000E+00,9.169E-01
5.950E-01,5.000E-03,0.000E+00,1.003E+00
6.050E-01,5.000E-03,0.000E+00,1.070E+00
6.150E-01,5.000E-03,0.000E+00,1.124E+00
6.250E-01,5.000E-03,0.000E+00,1.168E+00
6.350E-01,5.000E-03,0.000E+00,1.207E+00
6.450E-01,5.000E-03,0.000E+00,1.240E+00
6.550E-01,5.000E-03,0.000E+00,1.269E+00
6.650E-01,5.000E-03,0.000E+00,1.294E+00
6.750E-01,5.000E-03,0.000E+00,1.315E+00
6.850E-01,5.000E-03,0.000E+00,1.335E+00
6.950E-01,5.000E-03,0.000E+00,1.351E+00
7.050E-01,5.000E-03,0.000E+00,1.366E+00
7.150E-01,5.000E-03,0.000E+00,1.378E+00
7.250E-01,5.000E-03,0.000E+00,1.387E+00
7.350E-01,5.000E-03,0.000E+00,1.394E+00
7.450E-01,5.000E-03,0.000E+00,1.398E+00
7.550E-01,5.000E-03,0.000E+00,1.398E+00
7.650E-01,5.000E-03,0.000E+00,1.392E+00
7.750E-01,5.000E-03,0.000E+00,1.380E+00
