t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
600,1.114034E+05,1.055046E+05,1.151E-05,0.000E+00,1.627E-05,6.384E-07,0.000E+00,0.000E+00,2.235E-36,6.384E-07,1.821E-09,2.055E-04
1200,1.114140E+05,1.055108E+05,9.808E-05,1.132E-07,1.149E-04,1.120E-05,0.000E+00,0.000E+00,1.376E-28,1.120E-05,2.285E-08,4.110E-04
1800,1.114079E+05,1.055071E+05,1.891E-04,7.323E-07,2.108E-04,3.463E-05,0.000E+00,0.000E+00,7.309E-26,3.463E-05,2.322E-08,6.165E-04
2400,1.114061E+05,1.055061E+05,3.011E-04,6.829E-07,2.820E-04,5.645E-05,0.000E+00,0.000E+00,2.086E-23,5.645E-05,3.648E-08,8.220E-04
3000,1.114102E+05,1.055096E+05,4.137E-04,0.000E+00,3.519E-04,7.281E-05,0.000E+00,0.000E+00,1.798E-21,7.281E-05,9.814E-07,1.027E-03
3600,1.114075E+05,1.055083E+05,5.123E-04,3.124E-06,4.316E-04,8.690E-05,0.000E+00,0.000E+00,4.962E-20,8.690E-05,8.341E-06,1.233E-03
4200,1.114045E+05,1.055062E+05,6.577E-04,6.651E-07,4.601E-04,9.947E-05,0.000E+00,0.000E+00,1.819E-18,9.947E-05,7.786E-05,1.438E-03
4800,1.114111E+05,1.055116E+05,7.509E-04,1.977E-06,5.438E-04,1.031E-04,0.000E+00,0.000E+00,1.155E-17,1.031E-04,1.977E-04,1.644E-03
5400,1.114055E+05,1.055071E+05,9.015E-04,1.353E-07,5.559E-04,1.104E-04,0.000E+00,0.000E+00,1.048E-16,1.104E-04,9.179E-04,1.849E-03
6000,1.114108E+05,1.055113E+05,9.840E-04,7.336E-06,6.388E-04,1.137E-04,0.000E+00,0.000E+00,3.485E-16,1.137E-04,1.796E-03,2.055E-03
6600,1.114107E+05,1.055112E+05,1.147E-03,0.000E+00,6.449E-04,1.203E-04,0.000E+00,0.000E+00,1.455E-15,1.203E-04,5.669E-03,2.260E-03
7200,1.114063E+05,1.055078E+05,1.216E-03,6.731E-06,7.198E-04,1.234E-04,0.000E+00,0.000E+00,2.918E-15,1.234E-04,9.152E-03,2.466E-03
7800,1.114097E+05,1.055105E+05,1.371E-03,0.000E+00,7.323E-04,1.293E-04,0.000E+00,0.000E+00,6.632E-15,1.293E-04,2.100E-02,2.671E-03
8400,1.114078E+05,1.055090E+05,1.453E-03,4.214E-06,7.741E-04,1.348E-04,0.000E+00,0.000E+00,1.094E-14,1.348E-04,3.194E-02,2.976E-03
9000,1.114134E+05,1.055136E+05,1.578E-03,2.169E-07,8.142E-04,1.386E-04,0.000E+00,0.000E+00,1.726E-14,1.386E-04,5.616E-02,3.380E-03
9600,1.114093E+05,1.055105E+05,1.714E-03,0.000E+00,8.219E-04,1.461E-04,0.000E+00,0.000E+00,2.790E-14,1.461E-04,9.374E-02,3.784E-03
10200,1.114157E+05,1.055156E+05,1.773E-03,9.372E-06,8.959E-04,1.491E-04,0.000E+00,0.000E+00,3.887E-14,1.491E-04,1.235E-01,4.188E-03
10800,1.114164E+05,1.055163E+05,1.923E-03,0.000E+00,9.037E-04,1.551E-04,0.000E+00,0.000E+00,6.180E-14,1.551E-04,1.940E-01,4.591E-03
11400,1.114125E+05,1.055140E+05,2.013E-03,4.714E-06,9.347E-04,1.591E-04,0.000E+00,0.000E+00,8.462E-14,1.591E-04,2.579E-01,4.995E-03
12000,1.114172E+05,1.055149E+05,2.117E-03,0.000E+00,9.784E-04,1.625E-04,0.000E+00,0.000E+00,1.097E-13,1.625E-04,3.440E-01,5.399E-03
12600,1.114189E+05,1.055144E+05,2.262E-03,0.000E+00,9.830E-04,1.694E-04,0.000E+00,0.000E+00,1.541E-13,1.694E-04,4.900E-01,5.803E-03
13200,1.114149E+05,1.055103E+05,2.320E-03,7.144E-06,1.037E-03,1.724E-04,0.000E+00,0.000E+00,2.433E-13,1.724E-04,5.745E-01,6.207E-03
13800,1.114197E+05,1.055111E+05,2.440E-03,2.124E-07,1.058E-03,1.762E-04,0.000E+00,0.000E+00,1.014E-12,1.762E-04,7.451E-01,6.610E-03
14400,1.114179E+05,1.055086E+05,2.539E-03,0.000E+00,1.063E-03,1.826E-04,0.000E+00,0.000E+00,6.764E-12,1.826E-04,8.720E-01,7.014E-03
15000,1.114116E+05,1.055056E+05,2.566E-03,0.000E+00,1.065E-03,1.854E-04,6.319E-06,0.000E+00,2.917E-05,1.854E-04,9.051E-01,7.418E-03
15600,1.114184E+05,1.055067E+05,2.571E-03,0.000E+00,1.068E-03,1.876E-04,3.399E-05,4.265E-07,1.669E-04,1.876E-04,9.105E-01,7.822E-03
16200,1.114145E+05,1.055049E+05,2.573E-03,0.000E+00,1.071E-03,1.898E-04,8.793E-05,1.639E-07,2.951E-04,1.898E-04,9.126E-01,8.226E-03
16800,1.114216E+05,1.055057E+05,2.574E-03,0.000E+00,1.074E-03,1.920E-04,1.415E-04,7.941E-08,4.259E-04,1.920E-04,9.138E-01,8.629E-03
17400,1.114195E+05,1.055051E+05,2.575E-03,0.000E+00,1.077E-03,1.940E-04,2.019E-04,1.565E-06,5.485E-04,1.940E-04,9.149E-01,9.033E-03
18000,1.114201E+05,1.055048E+05,2.575E-03,0.000E+00,1.080E-03,1.961E-04,2.637E-04,8.861E-07,6.730E-04,1.961E-04,9.159E-01,9.437E-03
18600,1.113860E+05,1.055006E+05,2.528E-03,0.000E+00,1.095E-03,1.970E-04,1.973E-04,2.614E-06,7.710E-04,1.970E-04,8.692E-01,9.438E-03
19200,1.113911E+05,1.055011E+05,2.509E-03,0.000E+00,1.104E-03,1.987E-04,1.704E-04,1.990E-06,8.019E-04,1.987E-04,8.503E-01,9.438E-03
19800,1.113935E+05,1.055014E+05,2.496E-03,0.000E+00,1.111E-03,2.006E-04,1.567E-04,1.491E-06,8.148E-04,2.006E-04,8.386E-01,9.438E-03
20400,1.113939E+05,1.055014E+05,2.486E-03,0.000E+00,1.118E-03,2.026E-04,1.433E-04,2.063E-06,8.244E-04,2.026E-04,8.302E-01,9.438E-03
21000,1.113943E+05,1.055014E+05,2.478E-03,0.000E+00,1.123E-03,2.045E-04,1.291E-04,3.212E-06,8.332E-04,2.045E-04,8.235E-01,9.438E-03
21600,1.113950E+05,1.055015E+05,2.471E-03,0.000E+00,1.129E-03,2.065E-04,1.170E-04,3.007E-06,8.405E-04,2.065E-04,8.179E-01,9.438E-03
22200,1.113953E+05,1.055015E+05,2.465E-03,0.000E+00,1.134E-03,2.085E-04,1.050E-04,3.426E-06,8.467E-04,2.085E-04,8.130E-01,9.438E-03
22800,1.113957E+05,1.055016E+05,2.459E-03,0.000E+00,1.139E-03,2.105E-04,9.435E-05,3.465E-06,8.516E-04,2.105E-04,8.086E-01,9.438E-03
23400,1.113958E+05,1.055016E+05,2.453E-03,0.000E+00,1.144E-03,2.125E-04,8.427E-05,4.056E-06,8.551E-04,2.125E-04,8.046E-01,9.438E-03
24000,1.113959E+05,1.055016E+05,2.448E-03,0.000E+00,1.149E-03,2.144E-04,7.385E-05,5.712E-06,8.578E-04,2.144E-04,8.008E-01,9.438E-03
24600,1.113960E+05,1.055016E+05,2.443E-03,0.000E+00,1.154E-03,2.164E-04,6.510E-05,6.138E-06,8.600E-04,2.164E-04,7.972E-01,9.438E-03
25200,1.113960E+05,1.055016E+05,2.437E-03,0.000E+00,1.159E-03,2.184E-04,5.607E-05,7.073E-06,8.620E-04,2.184E-04,7.936E-01,9.438E-03
25800,1.113964E+05,1.055016E+05,2.432E-03,0.000E+00,1.164E-03,2.203E-04,5.056E-05,5.557E-06,8.630E-04,2.203E-04,7.902E-01,9.438E-03
26400,1.113967E+05,1.055017E+05,2.427E-03,0.000E+00,1.169E-03,2.222E-04,4.512E-05,5.136E-06,8.630E-04,2.222E-04,7.868E-01,9.438E-03
27000,1.113966E+05,1.055017E+05,2.422E-03,0.000E+00,1.174E-03,2.241E-04,4.006E-05,4.623E-06,8.627E-04,2.241E-04,7.835E-01,9.438E-03
27600,1.113967E+05,1.055017E+05,2.416E-03,0.000E+00,1.180E-03,2.261E-04,3.525E-05,4.078E-06,8.623E-04,2.261E-04,7.802E-01,9.438E-03
28200,1.113966E+05,1.055017E+05,2.411E-03,9.132E-08,1.185E-03,2.279E-04,2.935E-05,4.814E-06,8.617E-04,2.279E-04,7.770E-01,9.438E-03
28800,1.113970E+05,1.055017E+05,2.405E-03,0.000E+00,1.190E-03,2.298E-04,2.674E-05,3.150E-06,8.603E-04,2.298E-04,7.738E-01,9.438E-03
29400,1.113971E+05,1.055017E+05,2.400E-03,2.273E-07,1.195E-03,2.317E-04,2.387E-05,3.037E-06,8.576E-04,2.317E-04,7.708E-01,9.438E-03
30000,1.113971E+05,1.055017E+05,2.394E-03,3.227E-08,1.201E-03,2.335E-04,2.125E-05,3.182E-06,8.544E-04,2.335E-04,7.678E-01,9.438E-03
30600,1.113972E+05,1.055017E+05,2.389E-03,0.000E+00,1.206E-03,2.354E-04,1.920E-05,2.975E-06,8.511E-04,2.354E-04,7.650E-01,9.438E-03
31200,1.113972E+05,1.055017E+05,2.383E-03,1.382E-07,1.212E-03,2.372E-04,1.695E-05,3.124E-06,8.475E-04,2.372E-04,7.625E-01,9.438E-03
31800,1.113972E+05,1.055017E+05,2.377E-03,5.711E-07,1.218E-03,2.390E-04,1.540E-05,2.548E-06,8.439E-04,2.390E-04,7.601E-01,9.438E-03
32400,1.113973E+05,1.055017E+05,2.369E-03,2.833E-06,1.223E-03,2.408E-04,1.338E-05,2.935E-06,8.400E-04,2.408E-04,7.582E-01,9.438E-03
33000,1.113976E+05,1.055018E+05,2.363E-03,3.873E-06,1.228E-03,2.426E-04,1.250E-05,2.489E-06,8.358E-04,2.426E-04,7.570E-01,9.438E-03
33600,1.113975E+05,1.055017E+05,2.357E-03,5.344E-06,1.233E-03,2.443E-04,1.145E-05,2.439E-06,8.315E-04,2.443E-04,7.566E-01,9.438E-03
34200,1.113976E+05,1.055018E+05,2.341E-03,1.533E-05,1.238E-03,2.461E-04,1.062E-05,2.204E-06,8.272E-04,2.461E-04,7.562E-01,9.438E-03
34800,1.113976E+05,1.055018E+05,2.329E-03,2.326E-05,1.243E-03,2.479E-04,1.032E-05,1.565E-06,8.229E-04,2.479E-04,7.566E-01,9.438E-03
35400,1.113977E+05,1.055018E+05,2.321E-03,2.585E-05,1.248E-03,2.496E-04,9.503E-06,1.574E-06,8.185E-04,2.496E-04,7.577E-01,9.438E-03
36000,1.113978E+05,1.055018E+05,2.316E-03,2.642E-05,1.253E-03,2.514E-04,8.862E-06,1.389E-06,8.143E-04,2.514E-04,7.596E-01,9.438E-03
36600,1.113978E+05,1.055018E+05,2.312E-03,2.581E-05,1.257E-03,2.531E-04,8.275E-06,1.367E-06,8.100E-04,2.531E-04,7.625E-01,9.438E-03
37200,1.113978E+05,1.055018E+05,2.310E-03,2.389E-05,1.262E-03,2.548E-04,7.971E-06,1.077E-06,8.057E-04,2.548E-04,7.662E-01,9.438E-03
37800,1.113978E+05,1.055018E+05,2.308E-03,2.129E-05,1.266E-03,2.565E-04,7.000E-06,1.563E-06,8.014E-04,2.565E-04,7.709E-01,9.438E-03
38400,1.113978E+05,1.055018E+05,2.306E-03,1.890E-05,1.271E-03,2.582E-04,6.759E-06,1.293E-06,7.973E-04,2.582E-04,7.767E-01,9.438E-03
39000,1.113978E+05,1.055018E+05,2.304E-03,1.607E-05,1.276E-03,2.599E-04,6.339E-06,1.216E-06,7.933E-04,2.599E-04,7.836E-01,9.438E-03
39600,1.113979E+05,1.055018E+05,2.302E-03,1.357E-05,1.280E-03,2.616E-04,6.085E-06,9.789E-07,7.895E-04,2.616E-04,7.919E-01,9.438E-03
40200,1.113979E+05,1.055018E+05,2.300E-03,1.132E-05,1.284E-03,2.633E-04,5.495E-06,1.110E-06,7.858E-04,2.633E-04,8.017E-01,9.438E-03
40800,1.113980E+05,1.055018E+05,2.298E-03,9.479E-06,1.288E-03,2.650E-04,5.236E-06,1.026E-06,7.821E-04,2.650E-04,8.128E-01,9.438E-03
