x,z,saturation,concentration
0.005, 0.005, 0.000, 0.717
0.015, 0.005, 0.000, 0.717
0.025, 0.005, 0.000, 0.747
0.035, 0.005, 0.000, 0.747
0.045, 0.005, 0.000, 0.760
0.055, 0.005, 0.000, 0.760
0.065, 0.005, 0.000, 0.769
0.075, 0.005, 0.000, 0.769
0.085, 0.005, 0.000, 0.779
0.095, 0.005, 0.000, 0.779
0.105, 0.005, 0.000, 0.792
0.115, 0.005, 0.000, 0.792
0.125, 0.005, 0.000, 0.811
0.135, 0.005, 0.000, 0.811
0.145, 0.005, 0.000, 0.837
0.155, 0.005, 0.000, 0.837
0.165, 0.005, 0.000, 0.868
0.175, 0.005, 0.000, 0.868
0.185, 0.005, 0.000, 0.901
0.195, 0.005, 0.000, 0.901
0.205, 0.005, 0.000, 0.934
0.215, 0.005, 0.000, 0.934
0.225, 0.005, 0.000, 0.961
0.235, 0.005, 0.000, 0.961
0.245, 0.005, 0.000, 0.981
0.255, 0.005, 0.000, 0.981
0.265, 0.005, 0.000, 0.995
0.275, 0.005, 0.000, 0.995
0.285, 0.005, 0.000, 1.004
0.295, 0.005, 0.000, 1.004
0.305, 0.005, 0.000, 1.010
0.315, 0.005, 0.000, 1.010
0.325, 0.005, 0.000, 1.017
0.335, 0.005, 0.000, 1.017
0.345, 0.005, 0.000, 1.024
0.355, 0.005, 0.000, 1.024
0.365, 0.005, 0.000, 1.051
0.375, 0.005, 0.000, 1.051
0.385, 0.005, 0.000, 1.083
0.395, 0.005, 0.000, 1.083
0.405, 0.005, 0.000, 1.114
0.415, 0.005, 0.000, 1.114
0.425, 0.005, 0.000, 1.139
0.435, 0.005, 0.000, 1.139
0.445, 0.005, 0.000, 1.157
0.455, 0.005, 0.000, 1.157
0.465, 0.005, 0.000, 1.172
0.475, 0.005, 0.000, 1.172
0.485, 0.005, 0.000, 1.187
0.495, 0.005, 0.000, 1.187
0.505, 0.005, 0.000, 1.200
0.515, 0.005, 0.000, 1.200
0.525, 0.005, 0.000, 1.213
0.535, 0.005, 0.000, 1.213
0.545, 0.005, 0.000, 1.225
0.555, 0.005, 0.000, 1.225
0.565, 0.005, 0.000, 1.237
0.575, 0.005, 0.000, 1.237
0.585, 0.005, 0.000, 1.249
0.595, 0.005, 0.000, 1.249
0.605, 0.005, 0.000, 1.261
0.615, 0.005, 0.000, 1.261
0.625, 0.005, 0.000, 1.272
0.635, 0.005, 0.000, 1.272
0.645, 0.005, 0.000, 1.280
0.655, 0.005, 0.000, 1.280
0.665, 0.005, 0.000, 1.281
0.675, 0.005, 0.000, 1.281
0.685, 0.005, 0.000, 1.279
0.695, 0.005, 0.000, 1.279
0.705, 0.005, 0.000, 1.275
0.715, 0.005, 0.000, 1.275
0.725, 0.005, 0.000, 1.271
0.735, 0.005, 0.000, 1.271
0.745, 0.005, 0.000, 1.266
0.755, 0.005, 0.000, 1.266
0.765, 0.005, 0.000, 1.259
0.775, 0.005, 0.000, 1.259
0.785, 0.005, 0.000, 1.251
0.795, 0.005, 0.000, 1.251
0.805, 0.005, 0.000, 1.242
0.815, 0.005, 0.000, 1.242
0.825, 0.005, 0.000, 1.231
0.835, 0.005, 0.000, 1.231
0.845, 0.005, 0.000, 1.218
0.855, 0.005, 0.000, 1.218
0.865, 0.005, 0.000, 1.204
0.875, 0.005, 0.000, 1.204
0.885, 0.005, 0.000, 1.189
0.895, 0.005, 0.000, 1.189
0.905, 0.005, 0.000, 1.175
0.915, 0.005, 0.000, 1.175
0.925, 0.005, 0.000, 1.162
0.935, 0.005, 0.000, 1.162
0.945, 0.005, 0.000, 1.151
0.955, 0.005, 0.000, 1.151
0.965, 0.005, 0.000, 1.143
0.975, 0.005, 0.000, 1.143
0.985, 0.005, 0.000, 1.138
0.995, 0.005, 0.000, 1.138
1.005, 0.005, 0.000, 1.136
1.015, 0.005, 0.000, 1.136
1.025, 0.005, 0.000, 1.133
1.035, 0.005, 0.000, 1.133
1.045, 0.005, 0.000, 1.126
1.055, 0.005, 0.000, 1.126
1.065, 0.005, 0.000, 1.113
1.075, 0.005, 0.000, 1.113
1.085, 0.005, 0.000, 1.100
1.095, 0.005, 0.000, 1.100
1.105, 0.005, 0.000, 1.097
1.115, 0.005, 0.000, 1.097
1.125, 0.005, 0.000, 1.097
1.135, 0.005, 0.000, 1.097
1.145, 0.005, 0.000, 1.096
1.155, 0.005, 0.000, 1.096
1.165, 0.005, 0.000, 1.094
1.175, 0.005, 0.000, 1.094
1.185, 0.005, 0.000, 1.094
1.195, 0.005, 0.000, 1.094
1.205, 0.005, 0.000, 1.073
1.215, 0.005, 0.000, 1.073
1.225, 0.005, 0.000, 1.061
1.235, 0.005, 0.000, 1.061
1.245, 0.005, 0.000, 1.049
1.255, 0.005, 0.000, 1.049
1.265, 0.005, 0.000, 1.039
1.275, 0.005, 0.000, 1.039
1.285, 0.005, 0.000, 1.025
1.295, 0.005, 0.000, 1.025
1.305, 0.005, 0.000, 1.019
1.315, 0.005, 0.000, 1.019
1.325, 0.005, 0.000, 1.021
1.335, 0.005, 0.000, 1.021
1.345, 0.005, 0.000, 1.012
1.355, 0.005, 0.000, 1.012
1.365, 0.005, 0.000, 1.006
1.375, 0.005, 0.000, 1.006
1.385, 0.005, 0.000, 0.999
1.395, 0.005, 0.000, 0.999
1.405, 0.005, 0.000, 0.988
1.415, 0.005, 0.000, 0.988
1.425, 0.005, 0.000, 0.974
1.435, 0.005, 0.000, 0.974
1.445, 0.005, 0.000, 0.956
1.455, 0.005, 0.000, 0.956
1.465, 0.005, 0.000, 0.957
1.475, 0.005, 0.000, 0.957
1.485, 0.005, 0.000, 0.951
1.495, 0.005, 0.000, 0.951
1.505, 0.005, 0.000, 0.936
1.515, 0.005, 0.000, 0.936
1.525, 0.005, 0.000, 0.905
1.535, 0.005, 0.000, 0.905
1.545, 0.005, 0.000, 0.845
1.555, 0.005, 0.000, 0.845
1.565, 0.005, 0.000, 0.751
1.575, 0.005, 0.000, 0.751
1.585, 0.005, 0.000, 0.687
1.595, 0.005, 0.000, 0.687
1.605, 0.005, 0.000, 0.655
1.615, 0.005, 0.000, 0.655
1.625, 0.005, 0.000, 0.577
1.635, 0.005, 0.000, 0.577
1.645, 0.005, 0.000, 0.580
1.655, 0.005, 0.000, 0.580
1.665, 0.005, 0.000, 0.622
1.675, 0.005, 0.000, 0.622
1.685, 0.005, 0.000, 0.657
1.695, 0.005, 0.000, 0.657
1.705, 0.005, 0.000, 0.603
1.715, 0.005, 0.000, 0.603
1.725, 0.005, 0.000, 0.566
1.735, 0.005, 0.000, 0.566
1.745, 0.005, 0.000, 0.579
1.755, 0.005, 0.000, 0.579
1.765, 0.005, 0.000, 0.594
1.775, 0.005, 0.000, 0.594
1.785, 0.005, 0.000, 0.609
1.795, 0.005, 0.000, 0.609
1.805, 0.005, 0.000, 0.625
1.815, 0.005, 0.000, 0.625
1.825, 0.005, 0.000, 0.645
1.835, 0.005, 0.000, 0.645
1.845, 0.005, 0.000, 0.632
1.855, 0.005, 0.000, 0.632
1.865, 0.005, 0.000, 0.617
1.875, 0.005, 0.000, 0.617
1.885, 0.005, 0.000, 0.600
1.895, 0.005, 0.000, 0.600
1.905, 0.005, 0.000, 0.577
1.915, 0.005, 0.000, 0.577
1.925, 0.005, 0.000, 0.534
1.935, 0.005, 0.000, 0.534
1.945, 0.005, 0.000, 0.549
1.955, 0.005, 0.000, 0.549
1.965, 0.005, 0.000, 0.618
1.975, 0.005, 0.000, 0.618
1.985, 0.005, 0.000, 0.561
1.995, 0.005, 0.000, 0.561
2.005, 0.005, 0.000, 0.547
2.015, 0.005, 0.000, 0.547
2.025, 0.005, 0.000, 0.542
2.035, 0.005, 0.000, 0.542
2.045, 0.005, 0.000, 0.568
2.055, 0.005, 0.000, 0.568
2.065, 0.005, 0.000, 0.625
2.075, 0.005, 0.000, 0.625
2.085, 0.005, 0.000, 0.639
2.095, 0.005, 0.000, 0.639
2.105, 0.005, 0.000, 0.631
2.115, 0.005, 0.000, 0.631
2.125, 0.005, 0.000, 0.615
2.135, 0.005, 0.000, 0.615
2.145, 0.005, 0.000, 0.592
2.155, 0.005, 0.000, 0.592
2.165, 0.005, 0.000, 0.566
2.175, 0.005, 0.000, 0.566
2.185, 0.005, 0.000, 0.538
2.195, 0.005, 0.000, 0.538
2.205, 0.005, 0.000, 0.509
2.215, 0.005, 0.000, 0.509
2.225, 0.005, 0.000, 0.517
2.235, 0.005, 0.000, 0.517
2.245, 0.005, 0.000, 0.585
