# t, p_1, p_2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C
0.000000,109690.849085,103730.408576,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
600.000000,115298.247528,106235.788654,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
1200.000000,115626.938909,106399.396592,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
1800.000000,115550.154957,106406.096156,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
2400.000000,115460.125490,106391.960894,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
3000.000000,115657.809125,106468.419350,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
3600.000000,116157.914471,106652.981574,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
4200.000000,116335.660101,106732.477050,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
4800.000000,116386.561153,106778.197640,0.000000,0.000000,0.000025,0.000005,0.000000,0.000000,0.000018,0.000004,0.000000
5400.000000,116617.160699,106883.163504,0.000000,0.000000,0.000027,0.000005,0.000000,0.000000,0.000018,0.000004,0.000018
6000.000000,116718.692385,106944.218213,0.000002,0.000001,0.000044,0.000012,0.000000,0.000000,0.000018,0.000004,0.001166
6600.000000,116877.393617,107012.740598,0.000007,0.000005,0.000075,0.000025,0.000000,0.000000,0.000018,0.000004,0.015400
7200.000000,116803.185814,107022.347906,0.000015,0.000009,0.000120,0.000044,0.000000,0.000000,0.000018,0.000004,0.038665
7800.000000,116917.708721,107076.943839,0.000025,0.000016,0.000170,0.000067,0.000000,0.000000,0.000018,0.000004,0.046587
8400.000000,116934.404203,107103.297687,0.000037,0.000022,0.000220,0.000095,0.000000,0.000000,0.000018,0.000004,0.043902
9000.000000,120589.739682,110697.778665,0.000047,0.000026,0.000253,0.000118,0.000000,0.000000,0.000018,0.000004,0.041701
9600.000000,121415.638394,111357.489092,0.000058,0.000030,0.000288,0.000145,0.000000,0.000000,0.000018,0.000004,0.047076
10200.000000,121393.115922,111297.770958,0.000070,0.000036,0.000327,0.000175,0.000000,0.000000,0.000018,0.000004,0.039626
10800.000000,121219.155227,111260.703300,0.000083,0.000041,0.000368,0.000207,0.000000,0.000000,0.000018,0.000004,0.039688
11400.000000,120736.384221,110851.399566,0.000097,0.000046,0.000410,0.000244,0.000000,0.000000,0.000018,0.000004,0.042290
12000.000000,120735.974118,111111.160249,0.000112,0.000052,0.000451,0.000281,0.000000,0.000000,0.000018,0.000004,0.040959
12600.000000,120744.860383,111253.964926,0.000126,0.000058,0.000488,0.000319,0.000000,0.000000,0.000018,0.000004,0.035169
13200.000000,120440.297402,111292.146441,0.000141,0.000062,0.000525,0.000356,0.000000,0.000000,0.000018,0.000004,0.031580
13800.000000,120388.133513,111427.213793,0.000155,0.000067,0.000561,0.000394,0.000000,0.000000,0.000018,0.000004,0.029965
14400.000000,120190.906937,111972.421500,0.000169,0.000071,0.000596,0.000432,0.000000,0.000000,0.000026,0.000004,0.029878
15000.000000,120493.159712,112168.829537,0.000182,0.000076,0.000626,0.000466,0.000001,0.000002,0.000051,0.000005,0.029761
15600.000000,120071.260850,112166.694283,0.000194,0.000080,0.000658,0.000502,0.000003,0.000006,0.000087,0.000005,0.029666
16200.000000,120125.872679,112748.448930,0.000206,0.000084,0.000685,0.000533,0.000005,0.000012,0.000136,0.000009,0.029560
16800.000000,120005.972851,113025.833701,0.000216,0.000087,0.000715,0.000568,0.000008,0.000018,0.000193,0.000014,0.029321
17400.000000,120212.197650,113264.491135,0.000227,0.000091,0.000737,0.000595,0.000012,0.000026,0.000263,0.000020,0.028930
18000.000000,119899.045331,114026.437821,0.000236,0.000095,0.000763,0.000624,0.000018,0.000037,0.000348,0.000023,0.028646
18600.000000,115491.561300,109476.304351,0.000239,0.000096,0.000772,0.000636,0.000026,0.000047,0.000435,0.000024,0.027965
19200.000000,111941.743685,106517.684721,0.000241,0.000097,0.000777,0.000644,0.000029,0.000057,0.000510,0.000023,0.027199
19800.000000,109762.471774,105059.336136,0.000243,0.000098,0.000778,0.000648,0.000028,0.000064,0.000569,0.000023,0.025073
20400.000000,108152.444110,103881.739218,0.000242,0.000098,0.000782,0.000652,0.000026,0.000068,0.000613,0.000023,0.023843
21000.000000,107184.649507,103092.262343,0.000241,0.000098,0.000785,0.000656,0.000023,0.000072,0.000643,0.000023,0.023094
21600.000000,106501.404328,102498.162156,0.000240,0.000098,0.000787,0.000657,0.000019,0.000073,0.000669,0.000022,0.022662
22200.000000,106097.545689,102166.899951,0.000237,0.000097,0.000791,0.000659,0.000016,0.000075,0.000683,0.000022,0.022222
22800.000000,105848.164174,101959.624910,0.000235,0.000097,0.000794,0.000660,0.000014,0.000076,0.000696,0.000022,0.021738
23400.000000,105719.710264,101789.077767,0.000232,0.000096,0.000798,0.000661,0.000012,0.000076,0.000705,0.000022,0.021526
24000.000000,105665.047398,101734.339083,0.000229,0.000096,0.000802,0.000663,0.000010,0.000076,0.000712,0.000022,0.021680
24600.000000,105674.645874,101704.287414,0.000226,0.000095,0.000806,0.000664,0.000009,0.000076,0.000717,0.000022,0.021746
25200.000000,105716.768469,101731.578016,0.000224,0.000095,0.000810,0.000665,0.000008,0.000076,0.000722,0.000022,0.021708
25800.000000,105776.312847,101743.553544,0.000221,0.000094,0.000814,0.000666,0.000008,0.000075,0.000725,0.000022,0.021456
26400.000000,105858.039805,101801.501002,0.000219,0.000094,0.000817,0.000668,0.000008,0.000075,0.000729,0.000022,0.021160
27000.000000,105942.658702,101845.998227,0.000216,0.000093,0.000821,0.000669,0.000007,0.000075,0.000732,0.000022,0.020877
27600.000000,106040.677572,101945.357352,0.000214,0.000093,0.000824,0.000670,0.000007,0.000075,0.000734,0.000022,0.020627
28200.000000,106126.995775,101972.462226,0.000211,0.000092,0.000828,0.000671,0.000007,0.000074,0.000736,0.000022,0.020616
28800.000000,106210.504268,102017.499912,0.000209,0.000092,0.000831,0.000672,0.000007,0.000074,0.000739,0.000022,0.020692
29400.000000,106288.398402,102038.550826,0.000207,0.000091,0.000835,0.000673,0.000007,0.000074,0.000741,0.000022,0.020839
30000.000000,106357.153849,102076.273201,0.000204,0.000091,0.000838,0.000674,0.000007,0.000074,0.000744,0.000022,0.020722
30600.000000,106429.705393,102138.824111,0.000202,0.000091,0.000841,0.000675,0.000007,0.000074,0.000746,0.000022,0.020603
31200.000000,106486.212047,102167.878009,0.000199,0.000090,0.000844,0.000676,0.000007,0.000074,0.000748,0.000022,0.020472
31800.000000,106539.750780,102216.415697,0.000197,0.000090,0.000847,0.000677,0.000007,0.000074,0.000750,0.000022,0.020166
32400.000000,106601.061639,102262.151152,0.000195,0.000090,0.000850,0.000678,0.000007,0.000074,0.000753,0.000022,0.019731
33000.000000,106649.286902,102284.700246,0.000192,0.000089,0.000853,0.000679,0.000007,0.000074,0.000755,0.000022,0.019364
33600.000000,106693.809080,102302.075437,0.000190,0.000089,0.000856,0.000680,0.000008,0.000075,0.000758,0.000023,0.019112
34200.000000,106736.683050,102355.993973,0.000187,0.000089,0.000858,0.000680,0.000008,0.000075,0.000761,0.000023,0.018733
34800.000000,106779.846691,102385.577683,0.000185,0.000088,0.000861,0.000681,0.000008,0.000075,0.000764,0.000023,0.018382
35400.000000,106814.550004,102383.012126,0.000182,0.000088,0.000864,0.000682,0.000008,0.000076,0.000766,0.000023,0.018053
36000.000000,106843.186137,102375.129841,0.000180,0.000088,0.000867,0.000683,0.000008,0.000076,0.000768,0.000023,0.017732
36600.000000,106875.455705,102406.569609,0.000178,0.000087,0.000870,0.000684,0.000008,0.000077,0.000770,0.000023,0.017400
37200.000000,106897.606335,102403.545664,0.000175,0.000087,0.000873,0.000685,0.000008,0.000077,0.000773,0.000023,0.017063
37800.000000,106910.564139,102411.472255,0.000173,0.000086,0.000875,0.000685,0.000008,0.000077,0.000776,0.000023,0.016754
