# x, y, gas saturation, co2 concentration 
3.500000e-02, 3.500000e-02, 0.000000e+00, 1.603059e+00 
4.500000e-02, 3.500000e-02, 0.000000e+00, 1.604469e+00 
5.500000e-02, 3.500000e-02, 0.000000e+00, 1.606118e+00 
6.500000e-02, 3.500000e-02, 0.000000e+00, 1.608953e+00 
7.500000e-02, 3.500000e-02, 0.000000e+00, 1.612932e+00 
8.500000e-02, 3.500000e-02, 0.000000e+00, 1.618451e+00 
9.500000e-02, 3.500000e-02, 0.000000e+00, 1.620643e+00 
1.050000e-01, 3.500000e-02, 0.000000e+00, 1.614290e+00 
1.150000e-01, 3.500000e-02, 0.000000e+00, 1.602082e+00 
1.250000e-01, 3.500000e-02, 0.000000e+00, 1.586920e+00 
1.350000e-01, 3.500000e-02, 0.000000e+00, 1.570130e+00 
1.450000e-01, 3.500000e-02, 0.000000e+00, 1.548852e+00 
1.550000e-01, 3.500000e-02, 0.000000e+00, 1.532027e+00 
1.650000e-01, 3.500000e-02, 0.000000e+00, 1.531156e+00 
1.750000e-01, 3.500000e-02, 0.000000e+00, 1.534104e+00 
1.850000e-01, 3.500000e-02, 0.000000e+00, 1.536749e+00 
1.950000e-01, 3.500000e-02, 0.000000e+00, 1.539198e+00 
2.050000e-01, 3.500000e-02, 0.000000e+00, 1.541488e+00 
2.150000e-01, 3.500000e-02, 0.000000e+00, 1.543662e+00 
2.250000e-01, 3.500000e-02, 0.000000e+00, 1.545743e+00 
2.350000e-01, 3.500000e-02, 0.000000e+00, 1.547756e+00 
2.450000e-01, 3.500000e-02, 0.000000e+00, 1.549713e+00 
2.550000e-01, 3.500000e-02, 0.000000e+00, 1.551613e+00 
2.650000e-01, 3.500000e-02, 0.000000e+00, 1.553425e+00 
2.750000e-01, 3.500000e-02, 0.000000e+00, 1.555218e+00 
2.850000e-01, 3.500000e-02, 0.000000e+00, 1.557107e+00 
2.950000e-01, 3.500000e-02, 0.000000e+00, 1.559073e+00 
3.050000e-01, 3.500000e-02, 0.000000e+00, 1.561095e+00 
3.150000e-01, 3.500000e-02, 0.000000e+00, 1.563166e+00 
3.250000e-01, 3.500000e-02, 0.000000e+00, 1.565254e+00 
3.350000e-01, 3.500000e-02, 0.000000e+00, 1.567308e+00 
3.450000e-01, 3.500000e-02, 0.000000e+00, 1.569332e+00 
3.550000e-01, 3.500000e-02, 0.000000e+00, 1.571422e+00 
3.650000e-01, 3.500000e-02, 0.000000e+00, 1.573570e+00 
3.750000e-01, 3.500000e-02, 0.000000e+00, 1.575779e+00 
3.850000e-01, 3.500000e-02, 0.000000e+00, 1.578015e+00 
3.950000e-01, 3.500000e-02, 0.000000e+00, 1.580277e+00 
4.050000e-01, 3.500000e-02, 0.000000e+00, 1.582561e+00 
4.150000e-01, 3.500000e-02, 0.000000e+00, 1.584854e+00 
4.250000e-01, 3.500000e-02, 0.000000e+00, 1.587147e+00 
4.350000e-01, 3.500000e-02, 0.000000e+00, 1.589433e+00 
4.450000e-01, 3.500000e-02, 0.000000e+00, 1.591706e+00 
4.550000e-01, 3.500000e-02, 0.000000e+00, 1.593962e+00 
4.650000e-01, 3.500000e-02, 0.000000e+00, 1.596199e+00 
4.750000e-01, 3.500000e-02, 0.000000e+00, 1.598418e+00 
4.850000e-01, 3.500000e-02, 0.000000e+00, 1.600638e+00 
4.950000e-01, 3.500000e-02, 0.000000e+00, 1.602812e+00 
