x,y,gas_Saturation,CO2_concentration_in_water
0.005,0.005,0,0.0655392775241033
0.015,0.005,0,0.0848639493207766
0.025,0.005,0,0.109011201666201
0.035,0.005,0,0.135047415874748
0.045,0.005,0,0.16268336219623
0.055,0.005,0,0.191148424559764
0.065,0.005,0,0.226789825270885
0.075,0.005,0,0.260661355604936
0.085,0.005,0,0.299738835907608
0.095,0.005,0,0.341204958456204
0.105,0.005,0,0.377192212421763
0.115,0.005,0,0.414246402311885
0.125,0.005,0,0.454459590363532
0.135,0.005,0,0.48633599021694
0.145,0.005,0,0.517609848314792
0.155,0.005,0,0.5417167126525
0.165,0.005,0,0.56671242159438
0.175,0.005,0,0.588288784012847
0.185,0.005,0,0.60764534420873
0.195,0.005,0,0.622030538081795
0.205,0.005,0,0.633765510296754
0.215,0.005,0,0.645317856812375
0.225,0.005,0,0.654704046032972
0.235,0.005,0,0.673450741821799
0.245,0.005,0,0.679839163820951
0.255,0.005,0,0.673081742347927
0.265,0.005,0,0.666201376148363
0.275,0.005,0,0.6641805422755
0.285,0.005,0,0.656331199288904
0.295,0.005,0,0.629721927546563
0.305,0.005,0,0.602359430510804
0.315,0.005,0,0.566026920022917
0.325,0.005,0,0.525227535300625
0.335,0.005,0,0.461598670421969
0.345,0.005,0,0.386294029603074
0.355,0.005,0,0.305357194067506
0.365,0.005,0,0.223731252567635
0.375,0.005,0,0.270060119036221
0.385,0.005,0,0.324306137891163
0.395,0.005,0,0.416100547135641
0.405,0.005,0,0.515576520712279
0.415,0.005,0,0.599495836493172
0.425,0.005,0,0.666630924611836
0.435,0.005,0,0.727943257939898
0.445,0.005,0,0.776030883994949
0.455,0.005,0,0.815319395871505
0.465,0.005,0,0.854795838879191
0.475,0.005,0,0.879547591719207
0.485,0.005,0,0.9043881449654
0.495,0.005,0,0.930532515889081
0.505,0.005,0,0.94652524063366
0.515,0.005,0,0.963127010947702
0.525,0.005,0,0.976359732092915
0.535,0.005,0,0.98824047436844
0.545,0.005,0,1.0007727030523
0.555,0.005,0,1.0096034745818
0.565,0.005,0,1.01874603759554
0.575,0.005,0,1.02855309055037
0.585,0.005,0,1.03281486654581
0.595,0.005,0,1.03685011667731
0.605,0.005,0,1.0424828371639
0.615,0.005,0,1.04725923119615
0.625,0.005,0,1.05219622957373
0.635,0.005,0,1.05692283302956
0.645,0.005,0,1.05836534028492
0.655,0.005,0,1.05746919615361
0.665,0.005,0,1.05888424618163
0.675,0.005,0,1.06005301192444
0.685,0.005,0,1.05663880717478
0.695,0.005,0,1.05624293243977
0.705,0.005,0,1.05781330456144
0.715,0.005,0,1.0577679492377
0.725,0.005,0,1.05761992039338
0.735,0.005,0,1.05564407296611
0.745,0.005,0,1.05158715115583
0.755,0.005,0,1.05262142158677
0.765,0.005,0,1.05290378297862
0.775,0.005,0,1.0529632563447
0.785,0.005,0,1.05173612502674
0.795,0.005,0,1.05022265141543
0.805,0.005,0,1.0488534610272
0.815,0.005,0,1.04798166271088
0.825,0.005,0,1.04745243131627
0.835,0.005,0,1.04701018796862
0.845,0.005,0,1.04974942942201
0.855,0.005,0,1.04911903444517
0.865,0.005,0,1.04088662140156
0.875,0.005,0,1.03600287316199
0.885,0.005,0,1.04728059922835
0.895,0.005,0,1.04161174529585
0.905,0.005,0,1.02424560362318
0.915,0.005,0,1.02574904601531
0.925,0.005,0,1.02349215822693
0.935,0.005,0,1.01751330456633
0.945,0.005,0,1.00771399184624
0.955,0.005,0,1.00089700344618
0.965,0.005,0,0.987738695915632
0.975,0.005,0,0.985668299844808
0.985,0.005,0,0.986083971166359
0.995,0.005,0,0.97445776769052
1.005,0.005,0,0.961186234920199
1.015,0.005,0,0.951695872011011
1.025,0.005,0,0.94425949171582
1.035,0.005,0,0.928145344806239
1.045,0.005,0,0.909439458520077
1.055,0.005,0,0.901279823805293
1.065,0.005,0,0.874192038440762
1.075,0.005,0,0.84369308715399
1.085,0.005,0,0.820042859233734
1.095,0.005,0,0.794935448954182
1.105,0.005,0,0.760455144604189
1.115,0.005,0,0.734896496838021
1.125,0.005,0,0.710421201307397
1.135,0.005,0,0.662594253215494
1.145,0.005,0,0.610478781845897
1.155,0.005,0,0.559477644038911
1.165,0.005,0,0.491677470204693
1.175,0.005,0,0.435452534980076
1.185,0.005,0,0.357422604852474
1.195,0.005,0,0.287758336284141
1.205,0.005,0,0.224687863711718
1.215,0.005,0,0.16071946854091
1.225,0.005,0,0.10799543469867
1.235,0.005,0,0.0504899104754958
1.245,0.005,0,0.0365765799702374
1.255,0.005,0,0.0163041376706599
1.265,0.005,0,0.0101522717160157
1.275,0.005,0,0.00606893390911805
1.285,0.005,0,0.00429656782220911
1.295,0.005,0,0.00997161397364216
1.305,0.005,0,0.016906027601108
1.315,0.005,0,0.0345042207845918
1.325,0.005,0,0.0589370759746407
1.335,0.005,0,0.0942294206419701
1.345,0.005,0,0.133000301651738
1.355,0.005,0,0.180540794649971
1.365,0.005,0,0.232119240792412
1.375,0.005,0,0.287825109811689
1.385,0.005,0,0.345390910759565
1.395,0.005,0,0.409030234903848
1.405,0.005,0,0.481090657918331
1.415,0.005,0,0.545076226651825
1.425,0.005,0,0.598449995477209
1.435,0.005,0,0.643645711863819
1.445,0.005,0,0.687158737779199
1.455,0.005,0,0.723288237022364
1.465,0.005,0,0.757741434791083
1.475,0.005,0,0.793523282868239
1.485,0.005,0,0.828062664480224
1.495,0.005,0,0.862625467367439
1.505,0.005,0,0.895253301227334
1.515,0.005,0,0.926086715197201
1.525,0.005,0,0.945622581320053
1.535,0.005,0,0.96650102045136
1.545,0.005,0,0.987300677567876
1.555,0.005,0,1.00518190004197
1.565,0.005,0,1.02008623452801
1.575,0.005,0,1.03392588514665
1.585,0.005,0,1.04393559579732
1.595,0.005,0,1.04925974225282
1.605,0.005,0,1.05251496397517
1.615,0.005,0,1.04514017791833
1.625,0.005,0,1.03444042961605
1.635,0.005,0,1.0149261634193
1.645,0.005,0,0.990908138784935
1.655,0.005,0,0.963534156058936
1.665,0.005,0,0.900617457861772
1.675,0.005,0,0.816031003196118
1.685,0.005,0,0.678303660676488
1.695,0.005,0,0.544698480171239
1.705,0.005,0,0.534875711576481
1.715,0.005,0,0.52446482919378
1.725,0.005,0,0.633935347760254
1.735,0.005,0,0.762083009632959
1.745,0.005,0,0.868358442865076
