idx,p10_mean,p50_mean,p90_mean,p10_dev,p50_dev,p90_dev
1a,n/a,109880.0,n/a,n/a,8.096638534327413,n/a
1b,n/a,103970.22222222222,n/a,n/a,6.214280646270917,n/a
2,n/a,17700,n/a,n/a,942.8090415820633,n/a
3a,n/a,0.87e-3,n/a,n/a,0.0005423896246211678,n/a
3b,n/a,1.0066955555555557e-06,n/a,n/a,1.4252618568850281e-06,n/a
3c,n/a,2.11e-3,n/a,n/a,0.0004961251058272488,n/a
3d,n/a,0.43e-3,n/a,n/a,0.0003485946279060487,n/a
4a,n/a,1.7895e-06,n/a,n/a,4.061360060647446e-06,n/a
4b,n/a,0.0,n/a,n/a,0.0,n/a
4c,n/a,0.52e-3,n/a,n/a,0.00025518252571792173,n/a
4d,n/a,0.002e-3,n/a,n/a,1.2325226707772248e-05,n/a
5,n/a,15000,n/a,n/a,13798.872739788889,n/a
6,n/a,0.52e-3,n/a,n/a,0.0003926376724052851,n/a
