t_s,p1_Pa,p2_Pa,mobA_kg,immobA_kg,dissA_kg,sealA_kg,mobB_kg,immobB_kg,dissB_kg,sealB_kg,M_C,CO2tot_kg
600,109514.515935068,103649.490056278,1.91501094102166e-05,0,9.00075520175406e-05,4.41767320654742e-05,0,0,1.85292048779357e-74,1.85292048765494e-74,5.44312049763634e-17,0.000190016512708722
1200,109522.662671014,103656.198414992,0.000108353724260243,0,0.000160875659712434,7.08112577014913e-05,0,0,5.72089614338448e-58,5.72089613219247e-58,2.73144904406883e-15,0.000376803538827894
1800,109525.75069268,103658.925509572,0.000210987194765529,0,0.000211961767369076,8.37120349703904e-05,0,0,1.3220690729618e-50,1.32206904725561e-50,3.96001757770044e-11,0.000560696550152016
2400,109527.696029545,103660.675235771,0.000331721701018271,0,0.000239796446360621,9.25715508749274e-05,0,0,1.48179212578775e-45,1.48179197650525e-45,3.06929799036792e-08,0.000744550505626637
3000,109529.126973218,103661.671202782,0.00044773799918603,0,0.000271479135713521,9.92187678426104e-05,0,0,3.97843282230966e-42,3.97843155007837e-42,8.3955592223008e-07,0.000928356848541562
3600,109530.636573547,103662.161160582,0.000565746681720309,0,0.00029750215159005,0.000103574192500709,0,0,1.52079909085628e-39,1.520795456045e-39,1.16091221311167e-05,0.00111204991938675
4200,109532.241228385,103662.513745563,0.000681841390887111,0,0.000319626228016967,0.000107228021195986,0,0,2.45823444400872e-37,8.30240141652367e-38,9.05117438838271e-05,0.00129566650897806
4800,109533.667222093,103662.781643078,0.000798119741351091,0,0.000339430938387552,0.000111185715092636,0,0,1.42869128828863e-24,1.88231694237737e-36,0.000504871514962395,0.0014794268245499
5400,109534.667619386,103662.948844642,0.00091124452654434,0,0.000356478723074505,0.000114479748783494,0,0,1.44115255422132e-24,2.0708922033702e-35,0.00204838632910165,0.00166319941412343
6000,109534.989872685,103663,0.00102431346571149,0,0.000371634439775823,0.000117844193070123,0,0,1.08722264488699e-17,1.3190279893189e-34,0.00677869753986868,0.00184704311911191
6600,109534.124710648,103663,0.00113937126396463,0,0.000384138034180976,0.000121452682582028,0,0,1.09057573763286e-17,5.8898597475888e-34,0.0190929498249829,0.0020308201776549
7200,109533.0859375,103663,0.00125340447117099,0,0.00039896340206816,0.000124102548900052,0,0,3.19245266722362e-15,1.82113737007457e-33,0.0455655299955437,0.00221463590432403
7800,109534.451993438,103664.04365093,0.00135198571138434,0,0.000418171930235763,0.000128118421708092,0,0,1.16661937169905e-13,4.39084412844486e-33,0.0863837411130537,0.00239842842886944
8400,109537.374040797,103666.332886921,0.00145204749332117,0,0.000435062141895087,0.000131768107200815,0,0,1.58549314690807e-13,9.95239657939655e-33,0.147919495777314,0.00267258990014759
9000,109538.750973434,103667.660610353,0.00155381447391692,0,0.000448823023341592,0.000134755653349041,0,0,1.42287334350807e-12,2.11673818803466e-32,0.235765059864802,0.00304030415089844
9600,109540.163263675,103669.144046363,0.00166411645750457,0,0.000460138115498719,0.000137859838424014,0,0,2.59255289209231e-11,4.21540299909459e-32,0.359455251819308,0.00340799739459708
10200,109543.702114584,103672.803728042,0.00178093414530543,0,0.00047191436477563,0.000140131864078976,0,0,3.08184488843049e-10,7.99344328409973e-32,0.529660073964136,0.00377569067346257
10800,109551.458052597,103680.967472894,0.00187354982995728,0,0.00048800864534733,0.000143105878243106,0,0,2.2934578706403e-09,1.42153524542796e-31,0.706968266946286,0.00414360224153635
11400,109558.465512019,103688.375379548,0.00196901516985908,0,0.000499343379526346,0.000145942540761077,0,0,1.34292193986961e-08,3.16529497359055e-31,0.901535953186287,0.00451152235335099
12000,109559.744354822,103689.441365854,0.00207141893209452,0,0.000510319325846271,0.000149042933237154,0,0,5.98203448081535e-08,4.13060975440208e-30,1.13662998649112,0.0048795543842605
12600,109556.988129964,103684.06502439,0.00219061337886927,0,0.00052175331312975,0.000151184688268039,0,0,2.13008394707241e-07,9.9334270222696e-29,1.43975291403075,0.00524752454505278
13200,109545.106238707,103671.209003481,0.00220851850255219,0,0.000524477131237715,0.000153636478644804,0,0,3.30160509359245e-07,3.47498902496623e-28,1.51574495325258,0.00561560326553254
13800,109522.701244117,103653.413323741,0.00220861540385776,0,0.00052624898873458,0.000155335165816703,1.04321060064158e-06,0,0.000114386948187037,5.93128493041938e-28,1.56393170995717,0.00598332922936289
