#t, p1, p2, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, totM_co2 
3.000e+02,109400.000000,103500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000090
6.000e+02,109400.000000,103500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000180
9.000e+02,109500.000000,103600.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.142910,0.000270
1.200e+03,109500.000000,103700.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.538880,0.000360
1.500e+03,109600.000000,103700.000000,0.000096,0.000000,0.000046,0.000010,0.000000,0.000000,0.000000,0.000000,0.911720,0.000450
1.800e+03,109600.000000,103800.000000,0.000207,0.000001,0.000104,0.000025,0.000000,0.000000,0.000000,0.000000,1.278270,0.000540
2.100e+03,109700.000000,103800.000000,0.000263,0.000005,0.000168,0.000045,0.000000,0.000000,0.000000,0.000000,1.460760,0.000630
2.400e+03,109700.000000,103900.000000,0.000267,0.000010,0.000240,0.000066,0.000000,0.000000,0.000000,0.000000,1.450030,0.000720
2.700e+03,109800.000000,103900.000000,0.000168,0.000016,0.000293,0.000079,0.000000,0.000000,0.000000,0.000000,1.440710,0.000810
3.000e+03,109900.000000,104000.000000,0.000175,0.000018,0.000332,0.000089,0.000000,0.000000,0.000000,0.000000,1.430720,0.000900
3.300e+03,110000.000000,104100.000000,0.000176,0.000020,0.000373,0.000099,0.000000,0.000000,0.000000,0.000000,1.420510,0.000990
3.600e+03,110100.000000,104200.000000,0.000179,0.000024,0.000427,0.000113,0.000000,0.000000,0.000000,0.000000,1.443810,0.001080
3.900e+03,110100.000000,104300.000000,0.000182,0.000026,0.000469,0.000122,0.000000,0.000000,0.000000,0.000000,1.459140,0.001170
4.200e+03,110200.000000,104400.000000,0.000195,0.000028,0.000533,0.000133,0.000000,0.000000,0.000000,0.000000,1.472520,0.001260
4.500e+03,110300.000000,104400.000000,0.000225,0.000032,0.000583,0.000150,0.000000,0.000000,0.000000,0.000000,1.464370,0.001350
4.800e+03,110400.000000,104500.000000,0.000291,0.000034,0.000638,0.000166,0.000000,0.000000,0.000000,0.000000,1.465620,0.001440
5.100e+03,110500.000000,104600.000000,0.000492,0.000037,0.000711,0.000199,0.000000,0.000000,0.000000,0.000000,1.515810,0.001520
5.400e+03,110600.000000,104700.000000,0.000600,0.000043,0.000772,0.000231,0.000000,0.000000,0.000000,0.000000,1.528400,0.001610
5.700e+03,110600.000000,104800.000000,0.000576,0.000048,0.000827,0.000249,0.000000,0.000000,0.000000,0.000000,1.580450,0.001700
6.000e+03,110700.000000,104900.000000,0.000543,0.000058,0.000910,0.000285,0.000000,0.000000,0.000000,0.000000,1.625470,0.001790
6.300e+03,110800.000000,104900.000000,0.000744,0.000061,0.000991,0.000319,0.000000,0.000000,0.000000,0.000000,1.647930,0.001880
6.600e+03,110900.000000,105000.000000,0.000464,0.000074,0.001041,0.000341,0.000000,0.000000,0.000000,0.000000,1.683430,0.001970
6.900e+03,111000.000000,105100.000000,0.000514,0.000077,0.001096,0.000360,0.000000,0.000000,0.000000,0.000000,1.730940,0.002060
7.200e+03,111100.000000,105200.000000,0.000581,0.000082,0.001160,0.000387,0.000000,0.000000,0.000000,0.000000,1.730910,0.002150
7.500e+03,111100.000000,105300.000000,0.000530,0.000090,0.001216,0.000413,0.000000,0.000000,0.000000,0.000000,1.763890,0.002240
7.800e+03,111200.000000,105300.000000,0.000477,0.000096,0.001273,0.000432,0.000000,0.000000,0.000000,0.000000,1.771520,0.002330
8.100e+03,111300.000000,105400.000000,0.000589,0.000100,0.001340,0.000457,0.000000,0.000000,0.000000,0.000000,1.771120,0.002420
8.400e+03,111400.000000,105500.000000,0.000704,0.000104,0.001424,0.000485,0.000000,0.000000,0.000000,0.000000,1.799640,0.002600
8.700e+03,111500.000000,105600.000000,0.000844,0.000112,0.001500,0.000532,0.000000,0.000000,0.000000,0.000000,1.834400,0.002780
9.000e+03,111600.000000,105700.000000,0.001121,0.000117,0.001581,0.000579,0.000000,0.000000,0.000000,0.000000,1.824950,0.002960
9.300e+03,111700.000000,105800.000000,0.001412,0.000123,0.001648,0.000632,0.000000,0.000000,0.000000,0.000000,1.850940,0.003140
9.600e+03,111800.000000,105900.000000,0.001154,0.000138,0.001708,0.000666,0.000000,0.000000,0.000000,0.000000,1.836180,0.003320
