x,y,saturation,concentration
0.005,0.005,0,0.826386
0.015,0.005,0,0.830058
0.025,0.005,0,0.834489
0.035,0.005,0,0.839288
0.045,0.005,0,0.844155
0.055,0.005,0,0.84894
0.065,0.005,0,0.854005
0.075,0.005,0,0.857524
0.085,0.005,0,0.861018
0.095,0.005,0,0.864319
0.105,0.005,0,0.867386
0.115,0.005,0,0.870397
0.125,0.005,0,0.873738
0.135,0.005,0,0.876309
0.145,0.005,0,0.878728
0.155,0.005,0,0.881004
0.165,0.005,0,0.88315
0.175,0.005,0,0.885244
0.185,0.005,0,0.88757
0.195,0.005,0,0.88941
0.205,0.005,0,0.891139
0.215,0.005,0,0.892793
0.225,0.005,0,0.894326
0.235,0.005,0,0.895596
0.245,0.005,0,0.897602
0.255,0.005,0,0.898577
0.265,0.005,0,0.899834
0.275,0.005,0,0.900826
0.285,0.005,0,0.901457
0.295,0.005,0,0.902614
0.305,0.005,0,0.903309
0.315,0.005,0,0.904205
0.325,0.005,0,0.90452
0.335,0.005,0,0.904744
0.345,0.005,0,0.905172
0.355,0.005,0,0.905583
0.365,0.005,0,0.905565
0.375,0.005,0,0.905708
0.385,0.005,0,0.905754
0.395,0.005,0,0.905697
0.405,0.005,0,0.905529
0.415,0.005,0,0.905149
0.425,0.005,0,0.904879
0.435,0.005,0,0.904598
0.445,0.005,0,0.904354
0.455,0.005,0,0.904054
0.465,0.005,0,0.903654
0.475,0.005,0,0.903252
0.485,0.005,0,0.902843
0.495,0.005,0,0.902417
0.505,0.005,0,0.901881
0.515,0.005,0,0.901236
0.525,0.005,0,0.900507
0.535,0.005,0,0.899674
0.545,0.005,0,0.899269
0.555,0.005,0,0.898612
0.565,0.005,0,0.898185
0.575,0.005,0,0.897706
0.585,0.005,0,0.897027
0.595,0.005,0,0.896826
0.605,0.005,0,0.896289
0.615,0.005,0,0.894657
0.625,0.005,0,0.894391
0.635,0.005,0,0.894693
0.645,0.005,0,0.894342
0.655,0.005,0,0.892316
0.665,0.005,0,0.893074
0.675,0.005,0,0.892993
0.685,0.005,0,0.892078
0.695,0.005,0,0.891913
0.705,0.005,0,0.893484
0.715,0.005,0,0.893742
0.725,0.005,0,0.894446
0.735,0.005,0,0.895467
0.745,0.005,0,0.896696
0.755,0.005,0,0.897905
0.765,0.005,0,0.898923
0.775,0.005,0,0.900087
0.785,0.005,0,0.901519
0.795,0.005,0,0.902662
0.805,0.005,0,0.903728
0.815,0.005,0,0.904726
0.825,0.005,0,0.90566
0.835,0.005,0,0.906667
0.845,0.005,0,0.90787
0.855,0.005,0,0.908846
0.865,0.005,0,0.909807
0.875,0.005,0,0.91079
0.885,0.005,0,0.911808
0.895,0.005,0,0.91295
0.905,0.005,0,0.91402
0.915,0.005,0,0.914979
0.925,0.005,0,0.915956
0.935,0.005,0,0.916952
0.945,0.005,0,0.917954
0.955,0.005,0,0.919088
0.965,0.005,0,0.920096
0.975,0.005,0,0.920991
0.985,0.005,0,0.921856
0.995,0.005,0,0.922692
1.005,0.005,0,0.923501
1.015,0.005,0,0.924418
1.025,0.005,0,0.925223
1.035,0.005,0,0.925954
1.045,0.005,0,0.92667
1.055,0.005,0,0.927372
1.065,0.005,0,0.928061
1.075,0.005,0,0.928864
1.085,0.005,0,0.929568
1.095,0.005,0,0.930218
1.105,0.005,0,0.930859
1.115,0.005,0,0.93149
1.125,0.005,0,0.93211
1.135,0.005,0,0.932835
1.145,0.005,0,0.933452
1.155,0.005,0,0.934022
1.165,0.005,0,0.934576
1.175,0.005,0,0.935113
1.185,0.005,0,0.93563
1.195,0.005,0,0.936222
1.205,0.005,0,0.936697
1.215,0.005,0,0.937124
1.225,0.005,0,0.937521
1.235,0.005,0,0.937886
1.245,0.005,0,0.938217
1.255,0.005,0,0.938559
1.265,0.005,0,0.938791
1.275,0.005,0,0.938968
1.285,0.005,0,0.939095
1.295,0.005,0,0.939169
1.305,0.005,0,0.939189
1.315,0.005,0,0.939118
1.325,0.005,0,0.93897
1.335,0.005,0,0.938755
1.345,0.005,0,0.938468
1.355,0.005,0,0.938106
1.365,0.005,0,0.937666
1.375,0.005,0,0.936984
1.385,0.005,0,0.93631
1.395,0.005,0,0.935549
1.405,0.005,0,0.934694
1.415,0.005,0,0.93374
1.425,0.005,0,0.932685
1.435,0.005,0,0.931185
1.445,0.005,0,0.929841
1.455,0.005,0,0.928382
1.465,0.005,0,0.926807
1.475,0.005,0,0.925114
1.485,0.005,0,0.923278
1.495,0.005,0,0.920812
1.505,0.005,0,0.918654
1.515,0.005,0,0.916361
1.525,0.005,0,0.913932
1.535,0.005,0,0.911363
1.545,0.005,0,0.908591
1.555,0.005,0,0.905004
1.565,0.005,0,0.901893
1.575,0.005,0,0.898627
1.585,0.005,0,0.895204
1.595,0.005,0,0.891621
1.605,0.005,0,0.887749
1.615,0.005,0,0.882893
1.625,0.005,0,0.878694
1.635,0.005,0,0.874319
1.645,0.005,0,0.869765
1.655,0.005,0,0.865028
1.665,0.005,0,0.859887
1.675,0.005,0,0.853607
1.685,0.005,0,0.848168
1.695,0.005,0,0.842525
1.705,0.005,0,0.836669
1.715,0.005,0,0.830593
1.725,0.005,0,0.823941
1.735,0.005,0,0.815995
1.745,0.005,0,0.809079
1.755,0.005,0,0.801914
1.765,0.005,0,0.794496
1.775,0.005,0,0.786816
1.785,0.005,0,0.778326
1.795,0.005,0,0.768352
1.805,0.005,0,0.75959
1.815,0.005,0,0.750492
1.825,0.005,0,0.740947
1.835,0.005,0,0.731169
1.845,0.005,0,0.721484
1.855,0.005,0,0.711414
1.865,0.005,0,0.699055
1.875,0.005,0,0.686274
1.885,0.005,0,0.673472
1.895,0.005,0,0.660558
1.905,0.005,0,0.645671
1.915,0.005,0,0.62942
1.925,0.005,0,0.617251
1.935,0.005,0,0.60458
1.945,0.005,0,0.590845
1.955,0.005,0,0.57581
1.965,0.005,0,0.55785
1.975,0.005,0,0.536935
1.985,0.005,0,0.51752
1.995,0.005,0,0.497045
2.005,0.005,0,0.475562
2.015,0.005,0,0.45319
2.025,0.005,0,0.427768
2.035,0.005,0,0.39945
2.045,0.005,0,0.373059
2.055,0.005,0,0.345538
2.065,0.005,0,0.317493
2.075,0.005,0,0.289802
2.085,0.005,0,0.261433
2.095,0.005,0,0.239026
2.105,0.005,0,0.225715
2.115,0.005,0,0.217196
2.125,0.005,0,0.212635
2.135,0.005,0,0.21113
2.145,0.005,0,0.212135
2.155,0.005,0,0.214382
2.165,0.005,0,0.216448
2.175,0.005,0,0.218239
2.185,0.005,0,0.219601
2.195,0.005,0,0.220483
2.205,0.005,0,0.221116
2.215,0.005,0,0.221534
2.225,0.005,0,0.221787
2.235,0.005,0,0.221949
2.245,0.005,0,0.222024
2.255,0.005,0,0.222009
2.265,0.005,0,0.221856
2.275,0.005,0,0.221543
2.285,0.005,0,0.221136
2.295,0.005,0,0.220639
2.305,0.005,0,0.220078
2.315,0.005,0,0.219483
2.325,0.005,0,0.218818
2.335,0.005,0,0.218285
2.345,0.005,0,0.217903
2.355,0.005,0,0.217617
2.365,0.005,0,0.217419
2.375,0.005,0,0.217296
2.385,0.005,0,0.217223
2.395,0.005,0,0.217178
2.405,0.005,0,0.217116
2.415,0.005,0,0.217012
2.425,0.005,0,0.216849
2.435,0.005,0,0.216608
2.445,0.005,0,0.216179
2.455,0.005,0,0.215613
2.465,0.005,0,0.21493
2.475,0.005,0,0.214091
2.485,0.005,0,0.213084
2.495,0.005,0,0.211899
2.505,0.005,0,0.210204
2.515,0.005,0,0.2084
2.525,0.005,0,0.206474
2.535,0.005,0,0.204335
2.545,0.005,0,0.201982
2.555,0.005,0,0.199414
2.565,0.005,0,0.196012
2.575,0.005,0,0.192755
2.585,0.005,0,0.189528
2.595,0.005,0,0.186192
2.605,0.005,0,0.182776
2.615,0.005,0,0.179311
2.625,0.005,0,0.175031
2.635,0.005,0,0.171369
2.645,0.005,0,0.168101
2.655,0.005,0,0.165117
2.665,0.005,0,0.162441
2.675,0.005,0,0.160084
2.685,0.005,0,0.157787
2.695,0.005,0,0.156346
2.705,0.005,0,0.155287
2.715,0.005,0,0.154519
2.725,0.005,0,0.15402
2.735,0.005,0,0.153773
2.745,0.005,0,0.153774
2.755,0.005,0,0.153977
2.765,0.005,0,0.154303
2.775,0.005,0,0.154641
2.785,0.005,0,0.154844
2.795,0.005,0,0.154701
2.805,0.005,0,0.153299
2.815,0.005,0,0.15049
2.825,0.005,0,0.145771
2.835,0.005,0,0.138585
2.845,0.005,0,0.128955
2.855,0.005,0,0.117434
0.005,0.015,0,0.816664
0.015,0.015,0,0.818643
0.025,0.015,0,0.821233
0.035,0.015,0,0.824135
0.045,0.015,0,0.827214
0.055,0.015,0,0.830546
0.065,0.015,0,0.83485
0.075,0.015,0,0.837878
0.085,0.015,0,0.840353
0.095,0.015,0,0.84276
0.105,0.015,0,0.845179
0.115,0.015,0,0.847226
0.125,0.015,0,0.849641
0.135,0.015,0,0.851429
0.145,0.015,0,0.853133
0.155,0.015,0,0.85476
0.165,0.015,0,0.856309
0.175,0.015,0,0.857822
0.185,0.015,0,0.859463
0.195,0.015,0,0.86058
0.205,0.015,0,0.861684
0.215,0.015,0,0.862675
0.225,0.015,0,0.863642
0.235,0.015,0,0.865055
0.245,0.015,0,0.86547
0.255,0.015,0,0.86645
0.265,0.015,0,0.866795
0.275,0.015,0,0.867372
0.285,0.015,0,0.868257
0.295,0.015,0,0.867899
0.305,0.015,0,0.867911
0.315,0.015,0,0.867393
0.325,0.015,0,0.867339
0.335,0.015,0,0.867867
0.345,0.015,0,0.868544
0.355,0.015,0,0.867847
0.365,0.015,0,0.867647
0.375,0.015,0,0.867188
0.385,0.015,0,0.866921
0.395,0.015,0,0.866568
0.405,0.015,0,0.865993
0.415,0.015,0,0.865481
0.425,0.015,0,0.864865
0.435,0.015,0,0.864331
0.445,0.015,0,0.863791
0.455,0.015,0,0.863269
0.465,0.015,0,0.862761
0.475,0.015,0,0.862124
0.485,0.015,0,0.86131
0.495,0.015,0,0.860564
0.505,0.015,0,0.859788
0.515,0.015,0,0.85898
0.525,0.015,0,0.858142
0.535,0.015,0,0.85721
0.545,0.015,0,0.856392
0.555,0.015,0,0.855596
0.565,0.015,0,0.854847
0.575,0.015,0,0.854085
0.585,0.015,0,0.853298
0.595,0.015,0,0.852688
0.605,0.015,0,0.851951
0.615,0.015,0,0.850966
0.625,0.015,0,0.850017
0.635,0.015,0,0.849184
0.645,0.015,0,0.848502
0.655,0.015,0,0.847972
0.665,0.015,0,0.847719
0.675,0.015,0,0.847484
0.685,0.015,0,0.847853
0.695,0.015,0,0.848385
0.705,0.015,0,0.848675
0.715,0.015,0,0.84952
0.725,0.015,0,0.850238
0.735,0.015,0,0.850916
0.745,0.015,0,0.851519
0.755,0.015,0,0.852067
0.765,0.015,0,0.852595
0.775,0.015,0,0.853112
0.785,0.015,0,0.853217
0.795,0.015,0,0.853443
0.805,0.015,0,0.853894
0.815,0.015,0,0.854579
0.825,0.015,0,0.85549
0.835,0.015,0,0.856932
0.845,0.015,0,0.858307
0.855,0.015,0,0.859672
0.865,0.015,0,0.861068
0.875,0.015,0,0.86243
0.885,0.015,0,0.863716
0.895,0.015,0,0.86518
0.905,0.015,0,0.866504
0.915,0.015,0,0.86768
0.925,0.015,0,0.868817
0.935,0.015,0,0.869913
0.945,0.015,0,0.870967
0.955,0.015,0,0.872153
0.965,0.015,0,0.873206
0.975,0.015,0,0.874139
0.985,0.015,0,0.875036
0.995,0.015,0,0.875898
1.005,0.015,0,0.876726
1.015,0.015,0,0.877656
1.025,0.015,0,0.878466
1.035,0.015,0,0.879195
1.045,0.015,0,0.879906
1.055,0.015,0,0.880601
1.065,0.015,0,0.881281
1.075,0.015,0,0.882069
1.085,0.015,0,0.882757
1.095,0.015,0,0.883388
1.105,0.015,0,0.884006
1.115,0.015,0,0.884608
1.125,0.015,0,0.885194
1.135,0.015,0,0.88587
1.145,0.015,0,0.886434
1.155,0.015,0,0.886945
1.165,0.015,0,0.887431
1.175,0.015,0,0.887891
1.185,0.015,0,0.888323
1.195,0.015,0,0.888796
1.205,0.015,0,0.889156
1.215,0.015,0,0.889461
1.225,0.015,0,0.889726
1.235,0.015,0,0.889949
1.245,0.015,0,0.890125
1.255,0.015,0,0.890262
1.265,0.015,0,0.890302
1.275,0.015,0,0.890279
1.285,0.015,0,0.890193
1.295,0.015,0,0.89004
1.305,0.015,0,0.889818
1.315,0.015,0,0.889424
1.325,0.015,0,0.888988
1.335,0.015,0,0.888474
1.345,0.015,0,0.887872
1.355,0.015,0,0.887178
1.365,0.015,0,0.886389
1.375,0.015,0,0.885246
1.385,0.015,0,0.884175
1.395,0.015,0,0.883005
1.405,0.015,0,0.881722
1.415,0.015,0,0.880325
1.425,0.015,0,0.878809
1.435,0.015,0,0.876708
1.445,0.015,0,0.874863
1.455,0.015,0,0.872891
1.465,0.015,0,0.87079
1.475,0.015,0,0.868557
1.485,0.015,0,0.866163
1.495,0.015,0,0.862991
1.505,0.015,0,0.860249
1.515,0.015,0,0.857361
1.525,0.015,0,0.854325
1.535,0.015,0,0.851138
1.545,0.015,0,0.847723
1.555,0.015,0,0.843344
1.565,0.015,0,0.839576
1.575,0.015,0,0.835644
1.585,0.015,0,0.831545
1.595,0.015,0,0.827279
1.605,0.015,0,0.822695
1.615,0.015,0,0.816986
1.625,0.015,0,0.812082
1.635,0.015,0,0.806997
1.645,0.015,0,0.801731
1.655,0.015,0,0.796279
1.665,0.015,0,0.790385
1.675,0.015,0,0.783214
1.685,0.015,0,0.777033
1.695,0.015,0,0.770656
1.705,0.015,0,0.764076
1.715,0.015,0,0.75728
1.725,0.015,0,0.749851
1.735,0.015,0,0.740943
1.745,0.015,0,0.73321
1.755,0.015,0,0.725263
1.765,0.015,0,0.717076
1.775,0.015,0,0.708623
1.785,0.015,0,0.699313
1.795,0.015,0,0.688316
1.805,0.015,0,0.678492
1.815,0.015,0,0.668516
1.825,0.015,0,0.658654
1.835,0.015,0,0.648404
1.845,0.015,0,0.634407
1.855,0.015,0,0.619853
1.865,0.015,0,0.611309
1.875,0.015,0,0.602473
1.885,0.015,0,0.592319
1.895,0.015,0,0.580598
1.905,0.015,0,0.56708
1.915,0.015,0,0.550357
1.925,0.015,0,0.53276
1.935,0.015,0,0.514662
1.945,0.015,0,0.496993
1.955,0.015,0,0.480107
1.965,0.015,0,0.461747
1.975,0.015,0,0.442204
1.985,0.015,0,0.425087
1.995,0.015,0,0.407736
2.005,0.015,0,0.390084
2.015,0.015,0,0.372017
2.025,0.015,0,0.351239
2.035,0.015,0,0.329355
2.045,0.015,0,0.310265
2.055,0.015,0,0.291381
2.065,0.015,0,0.273013
2.075,0.015,0,0.255592
2.085,0.015,0,0.238391
2.095,0.015,0,0.22516
2.105,0.015,0,0.217316
2.115,0.015,0,0.212246
2.125,0.015,0,0.209508
2.135,0.015,0,0.208643
2.145,0.015,0,0.209431
2.155,0.015,0,0.211146
2.165,0.015,0,0.212579
2.175,0.015,0,0.213999
2.185,0.015,0,0.215132
2.195,0.015,0,0.215751
2.205,0.015,0,0.216289
2.215,0.015,0,0.216606
2.225,0.015,0,0.216785
2.235,0.015,0,0.216898
2.245,0.015,0,0.216949
2.255,0.015,0,0.216935
2.265,0.015,0,0.216815
2.275,0.015,0,0.216566
2.285,0.015,0,0.216232
2.295,0.015,0,0.215816
2.305,0.015,0,0.215334
2.315,0.015,0,0.214811
2.325,0.015,0,0.214204
2.335,0.015,0,0.213692
2.345,0.015,0,0.21331
2.355,0.015,0,0.213012
2.365,0.015,0,0.212797
2.375,0.015,0,0.212655
2.385,0.015,0,0.212563
2.395,0.015,0,0.212503
2.405,0.015,0,0.212426
2.415,0.015,0,0.212304
2.425,0.015,0,0.212114
2.435,0.015,0,0.211836
2.445,0.015,0,0.21134
2.455,0.015,0,0.21069
2.465,0.015,0,0.209907
2.475,0.015,0,0.208951
2.485,0.015,0,0.207811
2.495,0.015,0,0.206481
2.505,0.015,0,0.2046
2.515,0.015,0,0.202632
2.525,0.015,0,0.200562
2.535,0.015,0,0.198294
2.545,0.015,0,0.195836
2.555,0.015,0,0.193194
2.565,0.015,0,0.189778
2.575,0.015,0,0.186584
2.585,0.015,0,0.183389
2.595,0.015,0,0.180091
2.605,0.015,0,0.176771
2.615,0.015,0,0.173534
2.625,0.015,0,0.169827
2.635,0.015,0,0.166528
2.645,0.015,0,0.163604
2.655,0.015,0,0.160973
2.665,0.015,0,0.158603
2.675,0.015,0,0.156407
2.685,0.015,0,0.154291
2.695,0.015,0,0.152937
2.705,0.015,0,0.151944
2.715,0.015,0,0.151172
2.725,0.015,0,0.150627
2.735,0.015,0,0.150373
2.745,0.015,0,0.150298
2.755,0.015,0,0.150668
2.765,0.015,0,0.151312
2.775,0.015,0,0.15177
2.785,0.015,0,0.15176
2.795,0.015,0,0.151133
2.805,0.015,0,0.148887
2.815,0.015,0,0.145271
2.825,0.015,0,0.139768
2.835,0.015,0,0.13201
2.845,0.015,0,0.122265
2.855,0.015,0,0.111379
0.005,0.025,0,0.799678
0.015,0.025,0,0.800315
0.025,0.025,0,0.801282
0.035,0.025,0,0.802523
0.045,0.025,0,0.80392
0.055,0.025,0,0.805295
0.065,0.025,0,0.807291
0.075,0.025,0,0.809204
0.085,0.025,0,0.810976
0.095,0.025,0,0.812306
0.105,0.025,0,0.813299
0.115,0.025,0,0.814579
0.125,0.025,0,0.815774
0.135,0.025,0,0.816583
0.145,0.025,0,0.817305
0.155,0.025,0,0.817938
0.165,0.025,0,0.818487
0.175,0.025,0,0.818974
0.185,0.025,0,0.819425
0.195,0.025,0,0.81981
0.205,0.025,0,0.820022
0.215,0.025,0,0.820172
0.225,0.025,0,0.820202
0.235,0.025,0,0.819722
0.245,0.025,0,0.820102
0.255,0.025,0,0.819966
0.265,0.025,0,0.81992
0.275,0.025,0,0.819462
0.285,0.025,0,0.818621
0.295,0.025,0,0.818441
0.305,0.025,0,0.817499
0.315,0.025,0,0.815773
0.325,0.025,0,0.814605
0.335,0.025,0,0.813787
0.345,0.025,0,0.813179
0.355,0.025,0,0.813021
0.365,0.025,0,0.811971
0.375,0.025,0,0.811145
0.385,0.025,0,0.810072
0.395,0.025,0,0.808965
0.405,0.025,0,0.807975
0.415,0.025,0,0.806958
0.425,0.025,0,0.805863
0.435,0.025,0,0.804933
0.445,0.025,0,0.803982
0.455,0.025,0,0.803005
0.465,0.025,0,0.801997
0.475,0.025,0,0.800867
0.485,0.025,0,0.799619
0.495,0.025,0,0.798526
0.505,0.025,0,0.797428
0.515,0.025,0,0.796336
0.525,0.025,0,0.795256
0.535,0.025,0,0.7941
0.545,0.025,0,0.792992
0.555,0.025,0,0.791917
0.565,0.025,0,0.790797
0.575,0.025,0,0.789676
0.585,0.025,0,0.788587
0.595,0.025,0,0.787451
0.605,0.025,0,0.786246
0.615,0.025,0,0.785325
0.625,0.025,0,0.784493
0.635,0.025,0,0.783683
0.645,0.025,0,0.782889
0.655,0.025,0,0.782338
0.665,0.025,0,0.78195
0.675,0.025,0,0.781425
0.685,0.025,0,0.781214
0.695,0.025,0,0.781057
0.705,0.025,0,0.780684
0.715,0.025,0,0.780444
0.725,0.025,0,0.779894
0.735,0.025,0,0.779653
0.745,0.025,0,0.779628
0.755,0.025,0,0.779783
0.765,0.025,0,0.780093
0.775,0.025,0,0.780745
0.785,0.025,0,0.781773
0.795,0.025,0,0.782966
0.805,0.025,0,0.784258
0.815,0.025,0,0.785601
0.825,0.025,0,0.786977
0.835,0.025,0,0.788596
0.845,0.025,0,0.790156
0.855,0.025,0,0.79167
0.865,0.025,0,0.79322
0.875,0.025,0,0.794757
0.885,0.025,0,0.79624
0.895,0.025,0,0.797906
0.905,0.025,0,0.799395
0.915,0.025,0,0.800694
0.925,0.025,0,0.801939
0.935,0.025,0,0.803137
0.945,0.025,0,0.804296
0.955,0.025,0,0.80561
0.965,0.025,0,0.806782
0.975,0.025,0,0.807825
0.985,0.025,0,0.808829
0.995,0.025,0,0.809791
1.005,0.025,0,0.810705
1.015,0.025,0,0.811709
1.025,0.025,0,0.812554
1.035,0.025,0,0.813296
1.045,0.025,0,0.814005
1.055,0.025,0,0.814686
